age,length_of_service,gender_short,STATUS,BUSINESS_UNIT,job_level,dept_category
58,18,1,0,0,2,0
59,19,1,0,0,2,0
57,17,0,0,0,0,0
58,18,0,0,0,0,0
59,19,0,0,0,0,0
60,20,0,0,0,0,0
61,21,0,0,0,0,0
62,22,0,0,0,0,0
63,23,0,0,0,0,0
64,24,0,0,0,0,0
57,17,1,0,1,1,0
58,18,1,0,1,1,0
59,19,1,0,1,1,0
57,17,1,0,0,0,0
58,18,1,0,0,0,0
59,19,1,0,0,0,0
57,17,1,0,0,0,0
58,18,1,0,0,0,0
59,19,1,0,0,0,0
57,17,1,0,1,1,1
58,18,1,0,1,1,1
59,19,1,0,1,1,1
57,17,0,0,1,1,1
58,18,0,0,1,1,1
59,19,0,0,1,1,1
60,20,0,0,1,1,1
61,21,0,0,1,1,1
62,22,0,0,1,1,1
63,23,0,0,1,1,1
64,24,0,0,1,1,1
57,17,0,0,0,2,0
58,18,0,0,0,2,0
59,19,0,0,0,2,0
60,20,0,0,0,2,0
61,21,0,0,0,2,0
62,22,0,0,0,2,0
63,23,0,0,0,2,0
64,24,0,0,0,2,0
57,17,0,0,1,1,1
58,18,0,0,1,1,1
59,19,0,0,1,1,1
60,20,0,0,1,1,1
61,21,0,0,1,1,1
62,22,0,0,1,1,1
63,23,0,0,1,1,1
64,24,0,0,1,1,1
57,17,1,0,1,1,1
58,18,1,0,1,1,1
59,19,1,0,1,1,1
57,17,0,0,1,1,0
58,18,0,0,1,1,0
59,19,0,0,1,1,0
60,20,0,0,1,1,0
61,21,0,0,1,1,0
62,22,0,0,1,1,0
57,17,1,0,0,0,0
58,18,1,0,0,0,0
59,19,1,0,0,0,0
57,17,1,0,1,1,0
58,18,1,0,1,1,0
59,19,1,0,1,1,0
57,17,0,0,0,2,0
58,18,0,0,0,2,0
59,19,0,0,0,2,0
60,20,0,0,0,2,0
61,21,0,0,0,2,0
62,22,0,0,0,2,0
63,23,0,0,0,2,0
64,24,0,0,0,2,0
57,17,1,0,0,2,0
58,18,1,0,0,2,0
59,19,1,0,0,2,0
57,17,0,0,0,2,0
58,18,0,0,0,2,0
59,19,0,0,0,2,0
60,20,0,0,0,2,0
61,21,0,0,0,2,0
62,22,0,0,0,2,0
63,23,0,0,0,2,0
64,24,0,0,0,2,0
57,17,1,0,1,1,1
58,18,1,0,1,1,1
59,19,1,0,1,1,1
57,17,1,0,0,2,0
58,18,1,0,0,2,0
59,19,1,0,0,2,0
57,17,0,0,1,0,1
58,18,0,0,1,0,1
59,19,0,0,1,0,1
60,20,0,0,1,0,1
61,21,0,0,1,0,1
62,22,0,0,1,0,1
63,23,0,0,1,0,1
64,24,0,0,1,0,1
57,17,0,0,0,0,0
58,18,0,0,0,0,0
59,19,0,0,0,0,0
60,20,0,0,0,0,0
61,21,0,0,0,0,0
62,22,0,0,0,0,0
63,23,0,0,0,0,0
64,24,0,0,0,0,0
57,17,0,0,0,0,0
58,18,0,0,0,0,0
59,19,0,0,0,0,0
60,20,0,0,0,0,0
61,21,0,0,0,0,0
62,22,0,0,0,0,0
63,23,0,0,0,0,0
64,24,0,0,0,0,0
57,17,0,0,0,0,0
58,18,0,0,0,0,0
59,19,0,0,0,0,0
60,20,0,0,0,0,0
61,21,0,0,0,0,0
62,22,0,0,0,0,0
63,23,0,0,0,0,0
64,24,0,0,0,0,0
57,17,1,0,1,1,0
58,18,1,0,1,1,0
59,19,1,0,1,1,0
57,17,1,0,0,0,0
58,18,1,0,0,0,0
59,19,1,0,0,0,0
57,17,1,0,1,1,1
58,18,1,0,1,1,1
59,19,1,0,1,1,1
57,17,1,0,1,1,1
58,18,1,0,1,1,1
59,19,1,0,1,1,1
57,17,1,0,1,1,0
58,18,1,0,1,1,0
59,19,1,0,1,1,0
57,17,0,0,0,0,0
58,18,0,0,0,0,0
59,19,0,0,0,0,0
60,20,0,0,0,0,0
61,21,0,0,0,0,0
62,22,0,0,0,0,0
63,23,0,0,0,0,0
64,24,0,0,0,0,0
57,17,1,0,1,1,0
58,18,1,0,1,1,0
59,19,1,0,1,1,0
57,17,1,0,0,0,0
58,18,1,0,0,0,0
59,19,1,0,0,0,0
57,17,0,0,1,1,1
58,18,0,0,1,1,1
59,19,0,0,1,1,1
60,20,0,0,1,1,1
61,21,0,0,1,1,1
62,22,0,0,1,1,1
63,23,0,0,1,1,1
64,24,0,0,1,1,1
57,17,0,0,0,0,0
58,18,0,0,0,0,0
59,19,0,0,0,0,0
60,20,0,0,0,0,0
61,21,0,0,0,0,0
62,22,0,0,0,0,0
63,23,0,0,0,0,0
64,24,0,0,0,0,0
57,17,1,0,1,1,1
58,18,1,0,1,1,1
59,19,1,0,1,1,1
57,17,0,0,1,1,1
58,18,0,0,1,1,1
59,19,0,0,1,1,1
60,20,0,0,1,1,1
61,21,0,0,1,1,1
62,22,0,0,1,1,1
63,23,0,0,1,1,1
64,24,0,0,1,1,1
57,17,0,0,1,1,1
58,18,0,0,1,1,1
59,19,0,0,1,1,1
60,20,0,0,1,1,1
61,21,0,0,1,1,1
62,22,0,0,1,1,1
63,23,0,0,1,1,1
64,24,0,0,1,1,1
57,17,0,0,0,0,0
58,18,0,0,0,0,0
59,19,0,0,0,0,0
60,20,0,0,0,0,0
61,21,0,0,0,0,0
62,22,0,0,0,0,0
63,23,0,0,0,0,0
64,24,0,0,0,0,0
57,17,0,0,1,1,0
58,18,0,0,1,1,0
59,19,0,0,1,1,0
60,20,0,0,1,1,0
61,21,0,0,1,1,0
62,22,0,0,1,1,0
63,23,0,0,1,1,0
64,24,0,0,1,1,0
57,17,0,0,0,1,0
58,18,0,0,0,1,0
59,19,0,0,0,1,0
60,20,0,0,0,1,0
61,21,0,0,0,1,0
62,22,0,0,0,1,0
63,23,0,0,0,1,0
64,24,0,0,0,1,0
57,17,1,0,1,1,1
58,18,1,0,1,1,1
59,19,1,0,1,1,1
57,17,0,0,0,1,0
58,18,0,0,0,1,0
59,19,0,0,0,1,0
60,20,0,0,0,1,0
61,21,0,0,0,1,0
62,22,0,0,0,1,0
63,23,0,0,0,1,0
64,24,0,0,0,1,0
57,17,1,0,0,1,0
58,18,1,0,0,1,0
59,19,1,0,0,1,0
57,17,1,0,0,1,0
58,18,1,0,0,1,0
59,19,1,0,0,1,0
57,17,0,0,1,1,1
58,18,0,0,1,1,1
59,19,0,0,1,1,1
60,20,0,0,1,1,1
61,21,0,0,1,1,1
62,22,0,0,1,1,1
63,23,0,0,1,1,1
64,24,0,0,1,1,1
57,17,1,0,0,0,0
58,18,1,0,0,0,0
59,19,1,0,0,0,0
57,17,0,0,1,0,1
58,18,0,0,1,0,1
59,19,0,0,1,0,1
60,20,0,0,1,0,1
61,21,0,0,1,0,1
62,22,0,0,1,0,1
63,23,0,0,1,0,1
64,24,0,0,1,0,1
57,17,1,0,0,0,0
58,18,1,0,0,0,0
59,19,1,0,0,0,0
57,17,1,0,0,0,0
58,18,1,0,0,0,0
59,19,1,0,0,0,0
57,17,1,0,0,0,0
58,18,1,0,0,0,0
59,19,1,0,0,0,0
57,17,0,0,1,1,0
58,18,0,0,1,1,0
59,19,0,0,1,1,0
60,20,0,0,1,1,0
61,21,0,0,1,1,0
62,22,0,0,1,1,0
63,23,0,0,1,1,0
64,24,0,0,1,1,0
57,17,0,0,1,1,0
58,18,0,0,1,1,0
59,19,0,0,1,1,0
60,20,0,0,1,1,0
61,21,0,0,1,1,0
62,22,0,0,1,1,0
63,23,0,0,1,1,0
64,24,0,0,1,1,0
57,17,1,0,1,1,0
58,18,1,0,1,1,0
59,19,1,0,1,1,0
57,17,1,0,1,0,1
58,18,1,0,1,0,1
59,19,1,0,1,0,1
57,17,1,0,1,0,1
58,18,1,0,1,0,1
59,19,1,0,1,0,1
57,17,0,0,1,1,1
58,18,0,0,1,1,1
59,19,0,0,1,1,1
60,20,0,0,1,1,1
61,21,0,0,1,1,1
62,22,0,0,1,1,1
63,23,0,0,1,1,1
64,24,0,0,1,1,1
57,17,1,0,1,1,1
58,18,1,0,1,1,1
59,19,1,0,1,1,1
57,17,1,0,1,0,1
58,18,1,0,1,0,1
59,19,1,0,1,0,1
57,17,1,0,1,1,1
58,18,1,0,1,1,1
59,19,1,0,1,1,1
57,17,0,0,1,1,1
58,18,0,0,1,1,1
59,19,0,0,1,1,1
60,20,0,0,1,1,1
61,21,0,0,1,1,1
62,22,0,0,1,1,1
63,23,0,0,1,1,1
64,24,0,0,1,1,1
57,17,1,0,1,1,1
58,18,1,0,1,1,1
59,19,1,0,1,1,1
57,17,1,0,1,1,0
58,18,1,0,1,1,0
59,19,1,0,1,1,0
57,17,0,0,1,1,1
58,18,0,0,1,1,1
59,19,0,0,1,1,1
60,20,0,0,1,1,1
61,21,0,0,1,1,1
62,22,0,0,1,1,1
63,23,0,0,1,1,1
64,24,0,0,1,1,1
57,17,1,0,1,0,1
58,18,1,0,1,0,1
59,19,1,0,1,0,1
57,17,1,0,1,1,0
58,18,1,0,1,1,0
59,19,1,0,1,1,0
57,17,1,0,1,0,1
58,18,1,0,1,0,1
59,19,1,0,1,0,1
57,16,0,0,0,0,0
58,17,0,0,0,0,0
59,18,0,0,0,0,0
60,19,0,0,0,0,0
61,20,0,0,0,0,0
62,21,0,0,0,0,0
63,22,0,0,0,0,0
64,23,0,0,0,0,0
57,16,0,0,1,1,1
58,17,0,0,1,1,1
59,18,0,0,1,1,1
60,19,0,0,1,1,1
61,20,0,0,1,1,1
62,21,0,0,1,1,1
63,22,0,0,1,1,1
64,23,0,0,1,1,1
57,16,0,0,1,1,1
58,17,0,0,1,1,1
59,18,0,0,1,1,1
60,19,0,0,1,1,1
61,20,0,0,1,1,1
62,21,0,0,1,1,1
63,22,0,0,1,1,1
64,23,0,0,1,1,1
57,16,1,0,1,1,1
58,17,1,0,1,1,1
59,18,1,0,1,1,1
57,16,0,0,1,1,1
58,17,0,0,1,1,1
59,18,0,0,1,1,1
60,19,0,0,1,1,1
61,20,0,0,1,1,1
62,21,0,0,1,1,1
63,22,0,0,1,1,1
64,23,0,0,1,1,1
57,16,1,0,0,0,0
58,17,1,0,0,0,0
59,18,1,0,0,0,0
57,16,1,0,0,0,0
58,17,1,0,0,0,0
59,18,1,0,0,0,0
57,16,0,0,1,1,1
58,17,0,0,1,1,1
59,18,0,0,1,1,1
60,19,0,0,1,1,1
61,20,0,0,1,1,1
62,21,0,0,1,1,1
63,22,0,0,1,1,1
64,23,0,0,1,1,1
57,16,1,0,1,0,1
58,17,1,0,1,0,1
59,18,1,0,1,0,1
57,16,0,0,1,1,1
58,17,0,0,1,1,1
59,18,0,0,1,1,1
60,19,0,0,1,1,1
61,20,0,0,1,1,1
62,21,0,0,1,1,1
63,22,0,0,1,1,1
64,23,0,0,1,1,1
57,16,1,0,0,0,0
58,17,1,0,0,0,0
59,18,1,0,0,0,0
57,16,1,0,1,0,1
58,17,1,0,1,0,1
59,18,1,0,1,0,1
57,16,0,0,0,0,0
58,17,0,0,0,0,0
59,18,0,0,0,0,0
60,19,0,0,0,0,0
61,20,0,0,0,0,0
62,21,0,0,0,0,0
63,22,0,0,0,0,0
64,23,0,0,0,0,0
57,16,0,0,0,0,0
58,17,0,0,0,0,0
59,18,0,0,0,0,0
60,19,0,0,0,0,0
61,20,0,0,0,0,0
62,21,0,0,0,0,0
63,22,0,0,0,0,0
64,23,0,0,0,0,0
57,16,0,0,1,1,1
58,17,0,0,1,1,1
59,18,0,0,1,1,1
60,19,0,0,1,1,1
61,20,0,0,1,1,1
62,21,0,0,1,1,1
63,22,0,0,1,1,1
64,23,0,0,1,1,1
57,16,1,0,1,1,1
58,17,1,0,1,1,1
59,18,1,0,1,1,1
57,16,1,0,0,0,0
58,17,1,0,0,0,0
59,18,1,0,0,0,0
57,16,0,0,0,0,0
58,17,0,0,0,0,0
59,18,0,0,0,0,0
60,19,0,0,0,0,0
61,20,0,0,0,0,0
62,21,0,0,0,0,0
63,22,0,0,0,0,0
64,23,0,0,0,0,0
57,16,0,0,1,1,1
58,17,0,0,1,1,1
59,18,0,0,1,1,1
60,19,0,0,1,1,1
61,20,0,0,1,1,1
62,21,0,0,1,1,1
63,22,0,0,1,1,1
64,23,0,0,1,1,1
57,16,0,0,0,0,0
58,17,0,0,0,0,0
59,18,0,0,0,0,0
60,19,0,0,0,0,0
61,20,0,0,0,0,0
62,21,0,0,0,0,0
63,22,0,0,0,0,0
64,23,0,0,0,0,0
57,16,1,0,1,1,0
58,17,1,0,1,1,0
59,18,1,0,1,1,0
57,16,0,0,0,0,0
58,17,0,0,0,0,0
59,18,0,0,0,0,0
60,19,0,0,0,0,0
61,20,0,0,0,0,0
62,21,0,0,0,0,0
63,22,0,0,0,0,0
64,23,0,0,0,0,0
57,16,0,0,1,1,0
58,17,0,0,1,1,0
59,18,0,0,1,1,0
60,19,0,0,1,1,0
61,20,0,0,1,1,0
62,21,0,0,1,1,0
63,22,0,0,1,1,0
64,23,0,0,1,1,0
57,16,1,0,1,1,1
58,17,1,0,1,1,1
59,18,1,0,1,1,1
57,16,0,0,1,1,1
58,17,0,0,1,1,1
59,18,0,0,1,1,1
60,19,0,0,1,1,1
61,20,0,0,1,1,1
62,21,0,0,1,1,1
63,22,0,0,1,1,1
64,23,0,0,1,1,1
57,16,1,0,0,0,0
57,16,0,0,0,0,0
58,17,0,0,0,0,0
59,18,0,0,0,0,0
60,19,0,0,0,0,0
61,20,0,0,0,0,0
62,21,0,0,0,0,0
63,22,0,0,0,0,0
64,23,0,0,0,0,0
57,16,1,0,0,0,0
58,17,1,0,0,0,0
59,18,1,0,0,0,0
57,16,1,0,0,0,0
58,17,1,0,0,0,0
59,18,1,0,0,0,0
57,16,1,0,0,0,0
58,17,1,0,0,0,0
59,18,1,0,0,0,0
57,16,0,0,1,1,1
58,17,0,0,1,1,1
59,18,0,0,1,1,1
60,19,0,0,1,1,1
61,20,0,0,1,1,1
62,21,0,0,1,1,1
63,22,0,0,1,1,1
64,23,0,0,1,1,1
57,16,0,0,1,0,1
58,17,0,0,1,0,1
59,18,0,0,1,0,1
60,19,0,0,1,0,1
61,20,0,0,1,0,1
62,21,0,0,1,0,1
63,22,0,0,1,0,1
64,23,0,0,1,0,1
57,16,0,0,1,1,0
58,17,0,0,1,1,0
59,18,0,0,1,1,0
60,19,0,0,1,1,0
61,20,0,0,1,1,0
62,21,0,0,1,1,0
63,22,0,0,1,1,0
64,23,0,0,1,1,0
57,16,0,0,1,1,1
58,17,0,0,1,1,1
59,18,0,0,1,1,1
60,19,0,0,1,1,1
61,20,0,0,1,1,1
62,21,0,0,1,1,1
63,22,0,0,1,1,1
64,23,0,0,1,1,1
57,16,1,0,1,0,1
58,17,1,0,1,0,1
59,18,1,0,1,0,1
57,16,0,0,1,1,1
58,17,0,0,1,1,1
59,18,0,0,1,1,1
60,19,0,0,1,1,1
61,20,0,0,1,1,1
62,21,0,0,1,1,1
63,22,0,0,1,1,1
64,23,0,0,1,1,1
57,16,0,0,0,0,0
58,17,0,0,0,0,0
59,18,0,0,0,0,0
60,19,0,0,0,0,0
61,20,0,0,0,0,0
62,21,0,0,0,0,0
63,22,0,0,0,0,0
64,23,0,0,0,0,0
57,16,0,0,0,0,0
58,17,0,0,0,0,0
59,18,0,0,0,0,0
60,19,0,0,0,0,0
61,20,0,0,0,0,0
62,21,0,0,0,0,0
63,22,0,0,0,0,0
64,23,0,0,0,0,0
57,16,0,0,1,0,1
58,17,0,0,1,0,1
59,18,0,0,1,0,1
60,19,0,0,1,0,1
61,20,0,0,1,0,1
62,21,0,0,1,0,1
63,22,0,0,1,0,1
64,23,0,0,1,0,1
57,16,0,0,0,0,0
58,17,0,0,0,0,0
59,18,0,0,0,0,0
60,19,0,0,0,0,0
61,20,0,0,0,0,0
62,21,0,0,0,0,0
63,22,0,0,0,0,0
64,23,0,0,0,0,0
57,16,0,0,1,1,0
58,17,0,0,1,1,0
59,18,0,0,1,1,0
60,19,0,0,1,1,0
61,20,0,0,1,1,0
62,21,0,0,1,1,0
63,22,0,0,1,1,0
64,23,0,0,1,1,0
57,16,1,0,1,1,1
58,17,1,0,1,1,1
59,18,1,0,1,1,1
56,16,0,0,1,1,0
57,17,0,0,1,1,0
58,18,0,0,1,1,0
59,19,0,0,1,1,0
60,20,0,0,1,1,0
61,21,0,0,1,1,0
62,22,0,0,1,1,0
63,23,0,0,1,1,0
64,24,0,0,1,1,0
56,16,0,0,0,0,0
57,17,0,0,0,0,0
58,18,0,0,0,0,0
59,19,0,0,0,0,0
60,20,0,0,0,0,0
61,21,0,0,0,0,0
62,22,0,0,0,0,0
63,23,0,0,0,0,0
64,24,0,0,0,0,0
56,16,1,0,0,0,0
57,17,1,0,0,0,0
58,18,1,0,0,0,0
59,19,1,0,0,0,0
56,16,0,0,1,1,1
57,17,0,0,1,1,1
58,18,0,0,1,1,1
59,19,0,0,1,1,1
60,20,0,0,1,1,1
61,21,0,0,1,1,1
62,22,0,0,1,1,1
63,23,0,0,1,1,1
64,24,0,0,1,1,1
56,16,1,0,0,0,0
57,17,1,0,0,0,0
58,18,1,0,0,0,0
59,19,1,0,0,0,0
56,16,0,0,0,0,0
57,17,0,0,0,0,0
58,18,0,0,0,0,0
59,19,0,0,0,0,0
60,20,0,0,0,0,0
61,21,0,0,0,0,0
62,22,0,0,0,0,0
63,23,0,0,0,0,0
64,24,0,0,0,0,0
56,16,0,0,1,0,1
57,17,0,0,1,0,1
58,18,0,0,1,0,1
59,19,0,0,1,0,1
60,20,0,0,1,0,1
61,21,0,0,1,0,1
62,22,0,0,1,0,1
63,23,0,0,1,0,1
64,24,0,0,1,0,1
56,16,1,0,1,0,1
57,17,1,0,1,0,1
58,18,1,0,1,0,1
59,19,1,0,1,0,1
56,16,1,0,0,0,0
57,17,1,0,0,0,0
58,18,1,0,0,0,0
59,19,1,0,0,0,0
56,16,0,0,1,1,1
57,17,0,0,1,1,1
58,18,0,0,1,1,1
59,19,0,0,1,1,1
60,20,0,0,1,1,1
61,21,0,0,1,1,1
62,22,0,0,1,1,1
63,23,0,0,1,1,1
64,24,0,0,1,1,1
56,16,1,0,1,0,1
57,17,1,0,1,0,1
58,18,1,0,1,0,1
59,19,1,0,1,0,1
56,16,0,0,0,0,0
57,17,0,0,0,0,0
58,18,0,0,0,0,0
59,19,0,0,0,0,0
60,20,0,0,0,0,0
61,21,0,0,0,0,0
62,22,0,0,0,0,0
63,23,0,0,0,0,0
64,24,0,0,0,0,0
56,16,0,0,1,1,1
57,17,0,0,1,1,1
58,18,0,0,1,1,1
59,19,0,0,1,1,1
60,20,0,0,1,1,1
61,21,0,0,1,1,1
62,22,0,0,1,1,1
63,23,0,0,1,1,1
64,24,0,0,1,1,1
56,16,1,0,0,0,0
57,17,1,0,0,0,0
58,18,1,0,0,0,0
59,19,1,0,0,0,0
56,16,1,0,1,1,1
57,17,1,0,1,1,1
58,18,1,0,1,1,1
59,19,1,0,1,1,1
56,16,0,0,0,0,0
57,17,0,0,0,0,0
58,18,0,0,0,0,0
59,19,0,0,0,0,0
60,20,0,0,0,0,0
61,21,0,0,0,0,0
62,22,0,0,0,0,0
63,23,0,0,0,0,0
64,24,0,0,0,0,0
56,16,0,0,1,0,1
57,17,0,0,1,0,1
58,18,0,0,1,0,1
59,19,0,0,1,0,1
60,20,0,0,1,0,1
61,21,0,0,1,0,1
62,22,0,0,1,0,1
63,23,0,0,1,0,1
64,24,0,0,1,0,1
56,16,0,0,1,1,1
57,17,0,0,1,1,1
58,18,0,0,1,1,1
59,19,0,0,1,1,1
60,20,0,0,1,1,1
61,21,0,0,1,1,1
62,22,0,0,1,1,1
63,23,0,0,1,1,1
64,24,0,0,1,1,1
56,16,0,0,0,0,0
57,17,0,0,0,0,0
58,18,0,0,0,0,0
59,19,0,0,0,0,0
60,20,0,0,0,0,0
61,21,0,0,0,0,0
62,22,0,0,0,0,0
63,23,0,0,0,0,0
64,24,0,0,0,0,0
56,16,1,0,1,1,1
57,17,1,0,1,1,1
58,18,1,0,1,1,1
59,19,1,0,1,1,1
56,16,0,0,1,0,1
57,17,0,0,1,0,1
58,18,0,0,1,0,1
59,19,0,0,1,0,1
60,20,0,0,1,0,1
61,21,0,0,1,0,1
62,22,0,0,1,0,1
63,23,0,0,1,0,1
56,16,1,0,1,1,1
57,17,1,0,1,1,1
58,18,1,0,1,1,1
59,19,1,0,1,1,1
56,16,0,0,1,1,1
57,17,0,0,1,1,1
58,18,0,0,1,1,1
59,19,0,0,1,1,1
60,20,0,0,1,1,1
61,21,0,0,1,1,1
62,22,0,0,1,1,1
63,23,0,0,1,1,1
64,24,0,0,1,1,1
56,16,0,0,1,0,1
57,17,0,0,1,0,1
58,18,0,0,1,0,1
59,19,0,0,1,0,1
60,20,0,0,1,0,1
61,21,0,0,1,0,1
62,22,0,0,1,0,1
63,23,0,0,1,0,1
64,24,0,0,1,0,1
56,16,1,0,1,0,1
57,17,1,0,1,0,1
58,18,1,0,1,0,1
59,19,1,0,1,0,1
56,16,1,0,0,0,0
57,17,1,0,0,0,0
58,18,1,0,0,0,0
59,19,1,0,0,0,0
56,16,0,0,1,1,1
57,17,0,0,1,1,1
58,18,0,0,1,1,1
59,19,0,0,1,1,1
60,20,0,0,1,1,1
61,21,0,0,1,1,1
62,22,0,0,1,1,1
63,23,0,0,1,1,1
64,24,0,0,1,1,1
56,16,1,0,1,0,1
57,17,1,0,1,0,1
58,18,1,0,1,0,1
59,19,1,0,1,0,1
56,16,1,0,1,0,1
57,17,1,0,1,0,1
58,18,1,0,1,0,1
59,19,1,0,1,0,1
56,16,1,0,1,0,1
57,17,1,0,1,0,1
58,18,1,0,1,0,1
59,19,1,0,1,0,1
56,16,0,0,1,1,1
57,17,0,0,1,1,1
58,18,0,0,1,1,1
59,19,0,0,1,1,1
60,20,0,0,1,1,1
61,21,0,0,1,1,1
62,22,0,0,1,1,1
63,23,0,0,1,1,1
64,24,0,0,1,1,1
56,16,1,0,0,0,0
57,17,1,0,0,0,0
58,18,1,0,0,0,0
59,19,1,0,0,0,0
56,16,0,0,0,0,0
57,17,0,0,0,0,0
58,18,0,0,0,0,0
59,19,0,0,0,0,0
60,20,0,0,0,0,0
61,21,0,0,0,0,0
62,22,0,0,0,0,0
63,23,0,0,0,0,0
64,24,0,0,0,0,0
56,16,0,0,1,1,1
57,17,0,0,1,1,1
58,18,0,0,1,1,1
59,19,0,0,1,1,1
60,20,0,0,1,1,1
61,21,0,0,1,1,1
62,22,0,0,1,1,1
63,23,0,0,1,1,1
64,24,0,0,1,1,1
56,16,1,0,0,0,0
